image url,Manual validation,microsoft azure labels,gluon labels,google label description,google object detection
https://pbs.twimg.com/media/Eqy90-QW8AAD-GY?format=jpg&name=large,False,"['text', 'map', 'drawing', 'illustration', 'child art', 'painting', 'cartoon']",['tailed frog'],"['Botany', 'Leaf', 'Organism', 'Plant', 'Terrestrial plant', 'Art', 'Illustration', 'Terrestrial animal', 'Drawing', 'Painting']",['Frog']
https://pbs.twimg.com/media/ErtQHNgXUAAWcLQ?format=jpg&name=900x900,False,"['fashion accessory', 'chain', 'necklace', 'metalware', 'jewelry', 'earrings', 'indoor', 'pendant', 'jewellery', 'locket', 'crown', 'jewelry making', 'art', 'accessory', 'silver', 'body jewelry', 'key']",['chain'],"['White', 'Silver', 'Blue', 'Body jewelry', 'Natural material', 'Rectangle', 'Creative arts', 'Font', 'Material property', 'Aqua']",['Necklace']
https://pbs.twimg.com/media/EsLaVi6U0AIKVFa?format=jpg&name=900x900,False,"['text', 'screenshot', 'poster', 'human face', 'person', 'template', 'graphic']",['web site'],"['Product', 'Gesture', 'Font', 'Adaptation', 'Nail', 'Eyewear', 'Thumb', 'Brand', 'Advertising', 'Happy']",['Person']
https://pbs.twimg.com/media/EuMrxFzWYAQcLCb?format=jpg&name=900x900,True,"['animal', 'outdoor', 'reptile', 'rock', 'lizard', 'stone', 'trunk']","['African crocodile', 'American alligator']","['Vertebrate', 'Wood', 'Trunk', 'Bedrock', 'Plant', 'Terrestrial animal', 'Frog', 'Felidae', 'Landscape', 'Amphibian']","['Animal', 'Frog']"
https://pbs.twimg.com/media/Et7TZaMUcAASrsk?format=jpg&name=medium,True,"['reptile', 'frog', 'animal', 'lizard', 'amphibian', 'true frog']",['tailed frog'],"['Head', 'Plant', 'Eye', 'Frog', 'True toad', 'Toad', 'True frog', 'Organism', 'Fawn', 'Terrestrial animal']",['Animal']
https://pbs.twimg.com/media/EvtZgbbU8AEwbcY?format=jpg&name=medium,True,"['animal', 'frog', 'reptile', 'amphibian', 'true frog', 'toad', 'lizard', 'true toad']",['tailed frog'],"['Frog', 'Eye', 'True frog', 'Reptile', 'Toad', 'Liquid', 'Amphibian', 'Terrestrial animal', 'Snout', 'Water']",['Frog']
https://pbs.twimg.com/media/EvpddKsXAAYlsMd?format=jpg&name=medium,False,"['animal', 'reptile']","['electric ray', 'stingray']","['Organism', 'Frog', 'Space', 'Circle', 'Moon', 'Art', 'Toad', 'Astronomical object', 'Science', 'Water']","['Animal', 'Packaged goods']"
https://pbs.twimg.com/media/ExPOk7aVkAQsTSI?format=jpg&name=medium,True,"['person', 'grass', 'outdoor', 'fashion accessory', 'clothing', 'feet', 'fashion']",['jackfruit'],"['Hand', 'Shoe', 'Blue', 'Sleeve', 'People in nature', 'Street fashion', 'Grass', 'Knee', 'Nail', 'Wrist']","['Footwear', 'Person', 'Lizard', 'Top']"
https://pbs.twimg.com/media/ExfJvudUcAIrVCn?format=jpg&name=large,True,"['reptile', 'lizard', 'animal', 'amphibian', 'snake', 'frog', 'true frog', 'scaled reptile', 'toad', 'crocodile', 'turtle']",['tailed frog'],"['Brown', 'Frog', 'Insect', 'True frog', 'Toad', 'Wood', 'Reptile', 'Amphibian', 'Terrestrial animal', 'Pest']","['Frog', 'Animal']"
https://pbs.twimg.com/media/ExiaafbXAAIf7vQ?format=jpg&name=medium,True,"['animal', 'frog', 'reptile', 'closeup', 'amphibian', 'true frog', 'chocolate', 'close', 'dessert']","['tailed frog', 'bullfrog']","['Head', 'Eye', 'Reptile', 'Terrestrial animal', 'Snout', 'Amphibian', 'Close-up', 'Macro photography', 'Electric blue', 'Wildlife']",['Animal']
https://pbs.twimg.com/media/Ex5Vn0OWQAIV2-K?format=jpg&name=large,True,"['plant', 'dirty']","['pot', 'cup', 'coffee mug']","['Drinkware', 'Cup', 'Drink', 'Kopi luwak', 'Serveware', 'Liquid', 'Coffee', 'Wood', 'Automotive tire', 'Compost']",['Packaged goods']
